A01nficha;A01uf;idade_calculada;E03;E05;id_genero
5469;53;33;2;1;1
5550;53;48;1;2;1
5550;53;42;2;1;1
5551;53;46;1;1;1
5551;53;31;2;1;1
5551;53;4;2;1;99999
5553;53;44;2;1;1
5553;53;47;1;1;1
5553;53;7;2;1;99999
5556;53;64;1;4;1
5556;53;64;2;4;1
5556;53;38;1;4;1
5556;53;33;1;4;1
5571;53;43;1;4;1
5571;53;38;2;1;1
5571;53;20;1;4;1
5597;53;40;1;2;1
5597;53;34;2;4;1
5597;53;16;2;4;99999
5597;53;14;2;1;99999
5597;53;4;1;4;99999
5597;53;1;2;4;99999
5620;53;36;1;1;1
5620;53;27;2;2;1
5620;53;5;2;1;99999
5623;53;49;1;4;2
5648;53;56;1;2;1
5648;53;49;2;2;1
5648;53;17;1;2;99999
5648;53;13;1;2;99999
5660;53;30;2;2;1
5660;53;35;1;1;2
5660;53;12;2;3;99999
5660;53;5;1;3;99999
5660;53;2;1;3;99999
5664;53;59;2;2;1
5664;53;30;1;4;1
5679;53;35;1;4;1
5679;53;25;2;1;1
5679;53;5;2;1;99999
5719;53;40;2;1;1
5719;53;8;1;2;99999
5739;53;61;2;3;1
5739;53;66;1;3;1
5795;53;25;2;1;1
5795;53;30;2;1;1
5795;53;40;1;4;1
5795;53;9;1;1;99999
5795;53;4;1;1;99999
5795;53;1;1;4;99999
5849;53;59;2;2;1
5849;53;15;1;2;99999
5849;53;10;1;2;99999
5850;53;66;1;1;1
5850;53;51;2;4;1
5873;53;37;2;4;1
5873;53;5;1;4;99999
5892;53;42;2;1;1
5892;53;42;1;1;1
5912;53;32;2;1;1
5912;53;29;1;4;1
5912;53;6;1;1;99999
5912;53;3;1;1;99999
5913;53;45;2;3;1
5913;53;28;1;2;1
5913;53;8;2;1;99999
5923;53;36;1;4;1
5923;53;36;2;4;1
5923;53;8;1;4;99999
5923;53;5;2;1;99999
5929;53;49;1;4;1
5929;53;46;2;4;1
5929;53;18;1;4;1
5929;53;9;2;4;99999
5937;53;54;1;1;1
5937;53;52;2;1;1
5937;53;23;1;1;1
5937;53;21;1;1;1
5967;53;24;1;1;1
5975;53;60;2;1;1
5990;53;52;2;4;1
5990;53;20;2;4;1
6016;53;36;1;4;1
6016;53;42;1;4;1
6016;53;47;1;4;1
6016;53;79;1;1;1
6039;53;67;2;1;1
6039;53;36;2;4;1
6039;53;50;1;1;1
6071;53;38;1;4;1
6071;53;37;2;1;1
6071;53;7;1;1;99999
6071;53;3;2;4;99999
6099;53;34;2;1;1
6099;53;30;1;4;1
6105;53;50;1;2;1
6105;53;40;2;1;1
6105;53;8;2;1;99999
6105;53;4;2;1;99999
6105;53;0;2;1;99999
6112;53;54;2;1;1
6112;53;63;1;2;1
6112;53;34;2;4;1
6112;53;33;1;2;1
6112;53;40;1;2;1
6112;53;21;2;2;1
6112;53;15;1;2;99999
6112;53;11;1;1;99999
6112;53;9;1;2;99999
6144;53;70;2;1;1
6148;53;68;2;4;1
6148;53;64;1;4;1
6202;53;41;2;4;1
6202;53;44;1;4;1
6202;53;24;1;4;1
6202;53;17;1;4;99999
6231;53;41;1;4;1
6231;53;39;2;1;1
6231;53;5;2;4;99999
6241;53;78;2;2;1
6241;53;23;2;4;1
6241;53;9;1;4;99999
6241;53;7;2;4;99999
6241;53;6;1;4;99999
6266;53;77;2;4;1
6266;53;43;2;4;1
6284;53;23;2;4;1
6308;53;31;1;1;1
6308;53;30;2;1;1
6339;53;40;2;1;1
6347;53;42;1;4;1
6396;53;63;2;4;1
6396;53;34;1;4;1
6416;53;74;1;4;1
6416;53;32;2;4;1
6416;53;67;2;4;1
6429;53;49;2;4;1
6429;53;46;1;4;1
6437;53;34;1;1;1
6437;53;32;2;1;1
6448;53;49;2;1;1
6448;53;90;1;1;1
6461;53;48;1;1;1
6461;53;47;2;1;1
6461;53;14;2;1;99999
6461;53;10;1;1;99999
6467;53;60;2;4;1
6467;53;40;1;4;1
6484;53;38;1;1;1
6484;53;58;2;1;1
6498;53;73;2;2;1
6499;53;46;1;2;1
6499;53;44;2;2;1
6499;53;20;1;2;1
6501;53;33;2;4;1
6501;53;12;1;4;99999
6501;53;0;2;4;99999
6551;53;41;1;4;1
6551;53;20;2;4;1
6551;53;11;1;3;99999
6561;53;57;2;4;1
6561;53;31;2;1;1
6561;53;34;1;1;1
6561;53;32;1;4;1
6581;53;65;2;1;1
6581;53;70;1;1;1
6581;53;24;1;1;1
6591;53;35;1;1;1
6591;53;32;2;1;1
6591;53;4;2;1;99999
6591;53;16;2;1;99999
6591;53;52;1;1;1
6604;53;93;1;1;1
6604;53;58;1;1;1
6666;53;61;2;4;1
6666;53;23;1;1;1
6666;53;18;2;1;1
6671;53;45;2;4;1
